Finalidad,Finalidad_imagen,Cod. y Desc. Funcion,Cod. y Desc. Funcion_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,2 - Judicial,paraque/judicial.svg,9,"16162,57199659","19092,044635","20413,212519","16990,59975089","15832,71114606","13279,08798178",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,2 - Judicial,paraque/judicial.svg,10,"16162,57199659","19092,044635","20493,105119","18560,40230084","17687,60659038","14963,19813537",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,2 - Judicial,paraque/judicial.svg,11,"16162,57199659","19092,044635","22490,843454","20727,29255805","20047,64858499","16853,69308305",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,1,"7865,63979368","8217,498242","8217,498242","1203,88573596","374,96029306","189,78987536",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,2,"7865,63979368","8217,498242","8222,498242","1646,78182278","902,61915409","667,17220955",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,3,"7865,63979368","8217,498242","8222,498242","2723,03830743","1793,79101982","1393,50034998",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,4,"7865,63979368","8217,498242","8222,498242","3352,50359498","2476,69537228","2277,05473337",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,5,"7865,63979368","8217,498242","9240,471978","3994,56412259","3221,13032804","3014,24860824",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,6,"7865,63979368","8217,498242","9240,471978","5051,01823708","4432,04949815","3917,90999108",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,7,"7865,63979368","8217,498242","9231,407539","5733,48178222","5111,52174814","4872,78478532",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,8,"7865,63979368","8217,498242","9202,626304","6544,62983124","5927,54168053","5673,78324364",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,9,"7865,63979368","8217,498242","9505,313931","7472,19801499","6960,21991548","6496,88028763",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,10,"7865,63979368","8217,498242","11193,889078","8999,82732678","8457,18304182","7590,59547712",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,3 - Dirección Superior Ejecutiva,paraque/direccion_superior_ejecutiva.svg,11,"7865,63979368","8217,498242","11551,149172","9996,61329485","9574,01133855","9012,87104098",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,1,"5885,49339685","8421,423358","8421,423358","270,16709749","229,64731469","178,55020514",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,2,"5885,49339685","8421,423358","8421,423358","906,10624752","845,68386328","427,08243593",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,3,"5885,49339685","8421,423358","8421,423358","3626,43097504","1383,11063864","1133,30379026",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,4,"5885,49339685","8421,423358","8421,423358","3718,0973804","1710,46664778","1475,75973977",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,5,"5885,49339685","8421,423358","8421,423358","3738,89390496","1974,04211998","1749,72387007",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,6,"5885,49339685","8421,423358","8421,423358","4541,61855505","2800,89569859","2429,43121255",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,7,"5885,49339685","8421,423358","8421,423358","4613,14951822","3142,5838895","2883,08625077",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,8,"5885,49339685","8421,423358","8421,423358","5577,60026898","4355,82006952","3302,43071492",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,9,"5885,49339685","8421,423358","8421,423358","6051,40074385","5030,63717996","4634,24149123",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
