Cod. y Desc. Inciso,Cod. y Desc. Inciso_imagen,Cod. y Desc. Principal,Cod. y Desc. Principal_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,11,"4753,32041603","5106,920526","6096,826606","5425,65419048","5297,11952959","4942,05401573",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,1,"4082,2271143","4972,310646","4972,310646","716,28708522","319,5154426","83,68792235",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,2,"4082,2271143","4972,310646","4973,114634","2085,49029914","722,42595125","453,28542001",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,3,"4082,2271143","4972,310646","4974,204634","3452,83145239","1046,46351245","821,01576969",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,4,"4082,2271143","4972,310646","5021,204634","3580,5462814","1449,29017035","1265,17477896",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,5,"4082,2271143","4972,310646","5034,914134","3720,0951522","1851,64565875","1626,9350554",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,6,"4082,2271143","4972,310646","5092,705774","4114,72717686","2407,86799264","2125,63914467",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,7,"4082,2271143","4972,310646","5064,072225","4286,79227482","2857,932852","2636,21521227",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,8,"4082,2271143","4972,310646","5073,775725","4482,87234605","3298,75968148","3067,94118718",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,9,"4082,2271143","4972,310646","5100,830389","4678,59429439","3813,17887859","3584,25963416",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
